Node0px,Node0py,Node0pz,Node1px,Node1py,Node1pz,Node2px,Node2py,Node2pz,Node3px,Node3py,Node3pz,Node4px,Node4py,Node4pz,Node5px,Node5py,Node5pz,Node6px,Node6py,Node6pz,Node7px,Node7py,Node7pz,Node8px,Node8py,Node8pz,Node9px,Node9py,Node9pz,Node10px,Node10py,Node10pz
(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m),(m)
196.1925,325.3131,-314.0028,177.6795,293.4479,-285.6227,159.1259,261.6287,-257.2166,140.5343,229.8557,-228.783,121.9069,198.1284,-200.3211,103.2457,166.4458,-171.8308,84.5527,134.8069,-143.3121,65.8298,103.2105,-114.7654,47.0786,71.655,-86.1913,28.3006,40.1388,-57.5906,9.4971,8.66,-28.9648
196.2309,325.3467,-313.9399,177.7301,293.4894,-285.5457,159.1869,261.6748,-257.1304,140.6044,229.9033,-228.692,121.9851,198.1749,-200.2287,103.3314,166.4893,-171.7397,84.6452,134.8456,-143.2249,65.9282,103.2423,-114.6846,47.1821,71.678,-86.1197,28.408,40.1511,-57.5312,9.6071,8.66,-28.9202
196.2664,325.3686,-313.9179,177.7789,293.5206,-285.5076,159.2475,261.7127,-257.0804,140.6752,229.945,-228.6343,122.0649,198.2174,-200.1675,103.419,166.5298,-171.679,84.7395,134.8814,-143.1681,66.0284,103.2715,-114.6347,47.287,71.6988,-86.0792,28.5167,40.1621,-57.5024,9.7181,8.66,-28.9053
196.3001,325.3784,-313.9359,177.8269,293.541,-285.5082,159.3077,261.7405,-257.0685,140.7462,229.9774,-228.6138,122.1455,198.252,-200.1422,103.5079,166.5639,-171.6526,84.8356,134.9126,-143.144,66.1304,103.2974,-114.6163,47.3938,71.7176,-86.0694,28.6269,40.1722,-57.5039,9.8302,8.66,-28.9205
196.3323,325.3731,-313.9967,177.8745,293.5485,-285.5489,159.3685,261.7571,-257.0948,140.8183,229.9999,-228.6305,122.2273,198.2775,-200.1534,103.5983,166.59,-171.6616,84.9334,134.9372,-143.1542,66.2343,103.3186,-114.6306,47.5024,71.7334,-86.0909,28.7386,40.1808,-57.5355,9.9433,8.66,-28.9652
196.364,325.3514,-314.1014,177.9227,293.541,-285.6318,159.4305,261.7605,-257.1609,140.8922,230.0111,-228.6847,122.3114,198.2936,-200.2001,103.6911,166.6082,-171.705,85.0334,134.9551,-143.1977,66.3402,103.3342,-114.6775,47.6128,71.7451,-86.1439,28.8518,40.1872,-57.5971,10.0576,8.66,-29.0377
196.3977,325.3152,-314.2466,177.9728,293.5196,-285.7543,159.4949,261.7508,-257.2658,140.9687,230.0104,-228.7764,122.3983,198.2991,-200.2828,103.7866,166.6176,-171.7824,85.1361,134.966,-143.2735,66.4486,103.3446,-114.7548,47.7251,71.7532,-86.2257,28.9666,40.1918,-57.6859,10.173,8.66,-29.136
196.4349,325.2666,-314.428,178.0264,293.4859,-285.913,159.5625,261.7293,-257.4062,141.0484,229.9985,-228.9028,122.4882,198.2944,-200.3991,103.8851,166.6178,-171.8921,85.2415,134.9694,-143.3797,66.5592,103.3493,-114.8607,47.8394,71.7577,-86.334,29.0827,40.1946,-57.7994,10.2894,8.66,-29.2569
196.4771,325.2094,-314.6389,178.084,293.4425,-286.1027,159.6338,261.6978,-257.578,141.1316,229.9768,-229.0601,122.5813,198.2806,-200.5452,103.9864,166.61,-172.0304,85.3492,134.9657,-143.5134,66.6718,103.3482,-114.9924,47.9552,71.7579,-86.4664,29.2001,40.1951,-57.9346,10.4068,8.66,-29.3968
196.5246,325.1466,-314.8732,178.146,293.3927,-286.3168,159.7087,261.659,-257.7751,141.2177,229.9474,-229.2431,122.677,198.259,-200.717,104.0899,166.5949,-172.1936,85.4588,134.9556,-143.6706,66.7858,103.342,-115.1462,48.072,71.7545,-86.6188,29.3183,40.1937,-58.0875,10.525,8.66,-29.5517
196.5768,325.0777,-315.1282,178.2117,293.337,-286.5515,159.7865,261.6144,-257.9928,141.3061,229.912,-229.4467,122.7744,198.2313,-200.9091,104.1946,166.5737,-172.3767,85.5692,134.9401,-143.8468,66.9003,103.3312,-115.3173,48.1892,71.7478,-86.7867,29.4369,40.1905,-58.2536,10.644,8.66,-29.717
196.6325,325.0016,-315.4013,178.2801,293.2741,-286.8041,159.8662,261.563,-258.2277,141.3956,229.8704,-229.6669,122.8721,198.198,-201.1171,104.2991,166.5475,-172.5747,85.6792,134.92,-144.0368,67.0142,103.3165,-115.5011,48.3059,71.7381,-86.9654,29.5553,40.1857,-58.4282,10.7635,8.66,-29.8879
196.6904,324.9186,-315.6876,178.3498,293.2037,-287.0706,159.9464,261.504,-258.4765,141.4849,229.8216,-229.9002,122.9692,198.1582,-201.3373,104.4025,166.5156,-172.7838,85.7876,134.8951,-144.2365,67.1266,103.2982,-115.6928,48.4213,71.7259,-87.1502,29.6731,40.1794,-58.6065,10.8834,8.66,-30.0596
196.7495,324.8298,-315.9808,178.4194,293.1264,-287.3456,160.0257,261.4376,-258.7346,141.5727,229.7652,-230.1429,123.0643,198.1111,-201.5661,104.5037,166.4771,-173.0003,85.8937,134.8647,-144.4422,67.2368,103.2754,-115.8886,48.5348,71.7105,-87.3367,29.7898,40.1716,-58.7838,11.0035,8.66,-30.2273
196.8084,324.7362,-316.2753,178.4876,293.043,-287.6237,160.1027,261.364,-258.9969,141.6576,229.7013,-230.3901,123.1561,198.0566,-201.7992,104.6015,166.4316,-173.2204,85.9966,134.828,-144.65,67.344,103.2474,-116.0846,48.646,71.6914,-87.521,29.9051,40.1617,-58.956,11.1234,8.66,-30.3863
